,Importance
first_road_number_53.0,0.00010357983376535025
first_road_number_283.0,0.00010336186050620876
first_road_number_200.0,0.0001024789254912109
first_road_number_1084.0,0.00010238250375181835
first_road_number_3090.0,0.00010069286325938716
first_road_number_595.0,0.00010054388176218698
first_road_number_451.0,0.00010053920992115981
first_road_number_534.0,0.00010036037024810177
first_road_number_281.0,0.00010009846386690333
first_road_number_646.0,9.981928879508191e-05
first_road_number_5236.0,9.964265982162698e-05
first_road_number_616.0,9.953148383705573e-05
first_road_number_3054.0,9.940842762156382e-05
first_road_number_1074.0,9.913352930259358e-05
first_road_number_6102.0,9.902152944522612e-05
first_road_number_267.0,9.895032248159513e-05
first_road_number_565.0,9.889096263548478e-05
first_road_number_653.0,9.846589470249387e-05
first_road_number_141.0,9.832928142767732e-05
first_road_number_256.0,9.824463945500636e-05
first_road_number_270.0,9.781066956726436e-05
first_road_number_2036.0,9.766509742481223e-05
first_road_number_4036.0,9.758746630204228e-05
first_road_number_4073.0,9.754004551623055e-05
first_road_number_4044.0,9.712208502757009e-05
first_road_number_4361.0,9.694553384707134e-05
first_road_number_4019.0,9.63848871605972e-05
first_road_number_3102.0,9.62751929297603e-05
first_road_number_6075.0,9.610069823489504e-05
first_road_number_39.0,9.580142450571637e-05
first_road_number_1202.0,9.541387947352087e-05
first_road_number_5369.0,9.535955953628684e-05
first_road_number_4201.0,9.532456753934055e-05
first_road_number_1055.0,9.525029496771746e-05
first_road_number_612.0,9.495274339434473e-05
first_road_number_1397.0,9.491220191174263e-05
first_road_number_572.0,9.392867154534742e-05
first_road_number_170.0,9.34327342072381e-05
first_road_number_6096.0,9.331706110673866e-05
first_road_number_4089.0,9.263758962039948e-05
first_road_number_459.0,9.247447049710794e-05
first_road_number_4102.0,9.230622927571246e-05
first_road_number_4000.0,9.218730856846378e-05
first_road_number_3073.0,9.187251234119637e-05
first_road_number_4130.0,9.147628134407379e-05
first_road_number_55.0,9.136499421153842e-05
first_road_number_3081.0,9.091962753792791e-05
first_road_number_4063.0,9.06995687134013e-05
first_road_number_1075.0,9.061543881407809e-05
first_road_number_146.0,9.016497208117108e-05
first_road_number_453.0,8.942572857151514e-05
first_road_number_42.0,8.921110073408111e-05
first_road_number_659.0,8.87359600732967e-05
first_road_number_1040.0,8.818237878472664e-05
first_road_number_226.0,8.754343351261457e-05
first_road_number_3068.0,8.753008965453393e-05
first_road_number_665.0,8.745265555774606e-05
first_road_number_1222.0,8.706042194299425e-05
first_road_number_1240.0,8.694833259294928e-05
first_road_number_6042.0,8.66341307835148e-05
first_road_number_450.0,8.635364999473031e-05
first_road_number_6003.0,8.601204463655009e-05
first_road_number_626.0,8.596707022022174e-05
first_road_number_2990.0,8.58155134458357e-05
first_road_number_247.0,8.577208165024084e-05
first_road_number_102.0,8.574630421931363e-05
first_road_number_507.0,8.54282634852114e-05
first_road_number_127.0,8.512747600246706e-05
first_road_number_1086.0,8.495445974225939e-05
first_road_number_411.0,8.477447215903832e-05
first_road_number_6194.0,8.453578053430459e-05
first_road_number_4260.0,8.450389239509363e-05
first_road_number_669.0,8.435564632770158e-05
first_road_number_351.0,8.429926709609816e-05
first_road_number_28.0,8.331238571693008e-05
first_road_number_633.0,8.301612397461435e-05
first_road_number_5248.0,8.300151229139202e-05
first_road_number_6447.0,8.19475186649872e-05
first_road_number_5152.0,8.193821438905015e-05
first_road_number_1306.0,8.192311736426929e-05
first_road_number_244.0,8.159483482995959e-05
first_road_number_2177.0,8.155575958902769e-05
first_road_number_4112.0,8.154461510241536e-05
first_road_number_640.0,8.095464493916395e-05
first_road_number_340.0,8.062965286603962e-05
first_road_number_553.0,8.056991987823307e-05
first_road_number_345.0,8.056748531454256e-05
first_road_number_1099.0,8.00968188762009e-05
first_road_number_632.0,7.99122353666405e-05
first_road_number_379.0,7.980317363307354e-05
first_road_number_6379.0,7.97694816366231e-05
first_road_number_1198.0,7.965830479559661e-05
first_road_number_288.0,7.910151235716542e-05
first_road_number_1190.0,7.90132434187342e-05
first_road_number_2214.0,7.900820902857253e-05
special_conditions_at_site_Oil or diesel,7.899721198301564e-05
first_road_number_504.0,7.899010365331518e-05
first_road_number_433.0,7.87324884921655e-05
first_road_number_203.0,7.870292721239491e-05
first_road_number_673.0,7.848275834209989e-05
first_road_number_675.0,7.828952960594772e-05
first_road_number_4202.0,7.81603171382552e-05
first_road_number_2028.0,7.775640797423312e-05
